file,id,session,stimulus,scr,block
all_data/scr01/02_recall_SCR_era.txt,02,recall,7025,0.0066,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,7185,0.0424,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,7000,4e-4,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,2374,0.0011,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,2487,0.0042,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,9490,0.0392,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,2384,4e-4,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,9187,0.0016,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,3350,8e-4,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,6520,3e-4,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,2511,0.0014,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,1300,7e-4,2
all_data/scr01/02_recall_SCR_era.txt,02,recall,5250,9e-4,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,3022,0.0452,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,3350,0.0228,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,2102,0.0021,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,2487,0,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,2374,0.009,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,7185,0.0028,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,5726,0.0013,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,9584,0.0099,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,2384,0.0027,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,9490,0.0139,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,9183,0.0119,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,3063,0.0572,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,9253,0.005,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,7165,0.0041,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,2683,0.0239,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,7175,0.0045,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,1201,0.1383,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,5390,0.0215,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,1850,0.0017,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,6520,0.0039,1
all_data/scr01/03_emot_SCR_era.txt,03,emot,7175,0.0822,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,3063,0.0408,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,9253,0.0113,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,6520,0.0066,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,3350,0.0027,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,1201,0.1542,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,2384,0.009,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,5726,0.0028,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,3022,0.0018,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,2102,0.0071,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,9183,0.0059,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,1850,3e-4,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,5390,0.0032,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,2374,0.0079,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,7185,0.0035,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,2487,0.0059,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,9584,0.0084,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,9490,0.0019,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,7165,0.0046,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,2683,0.0067,2
all_data/scr01/03_emot_SCR_era.txt,03,emot,5726,0.0061,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,1201,0.1224,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,3063,0.0738,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,2374,0.0105,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,6520,0.0077,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,3350,0.0148,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,2102,0.0021,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,9584,0.0033,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,2683,8e-4,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,7185,0.0024,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,1850,0.0078,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,5390,0.0021,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,7175,0.0052,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,7165,0.0634,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,3022,0.0123,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,9490,0.0087,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,2384,0.0083,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,9253,0.0065,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,9183,0.0071,3
all_data/scr01/03_emot_SCR_era.txt,03,emot,2487,0.0013,3
all_data/scr01/03_recall_SCR_era.txt,03,recall,7205,0.023,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,7026,0.0119,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2374,0.016,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,9490,0.049,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,1850,0.0128,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,7175,0.0183,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2511,0.0119,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,7025,0.0066,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,9187,0.0703,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2981,0.0102,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2377,0.01,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2102,0.013,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,7185,0.0026,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2384,0.0075,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,7165,0.0162,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2683,0.0092,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,2514,0.0184,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,5250,2e-4,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,9040,0.0275,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,6520,0.0024,1
all_data/scr01/03_recall_SCR_era.txt,03,recall,6561,0.0062,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,5726,0.0079,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,8312,0.0129,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,3350,0.0129,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,9183,0.0137,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,2487,0.0074,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,9253,0.0291,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,3022,0.0033,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,9410,0.0292,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,7000,0.0037,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,7530,0.01,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,9043,0.0855,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,3060,0.0423,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,3103,0.0047,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,1201,0.2127,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,1300,0.1156,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,9405,0.0054,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,9584,0.0044,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,5390,0.0369,2
all_data/scr01/03_recall_SCR_era.txt,03,recall,3063,0.0583,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7025,0.0293,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,2511,0,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,7530,0.0041,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,1300,0.0953,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,3060,0.1226,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,7026,0.0117,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,9043,0.033,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,3103,0.0274,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,2377,0.0078,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,7205,0.0035,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,9040,0.0084,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,2981,0.0074,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,8312,0.029,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,2514,0.0026,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,7000,0.002,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,9410,0.028,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,9187,0.0185,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,9405,0.0067,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,5250,0.0036,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,6561,0.0193,1
all_data/scr01/04_emot_SCR_era.txt,04,emot,9187,0.091,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7026,0.0202,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,9410,0.0922,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,3060,0.0534,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,2981,0,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7205,0.0087,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7025,0.0027,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7000,0.0297,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,9040,0.0186,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,6561,0.0561,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,2514,0.0049,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,2511,0.0292,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7530,0.0168,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,2377,0.0138,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,9043,0.0225,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,3103,0.0201,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,9405,0.1227,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,1300,0.0493,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,5250,0.0301,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,8312,0.0106,2
all_data/scr01/04_emot_SCR_era.txt,04,emot,7026,0.1729,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,9040,0.0052,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,7530,0.0047,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,8312,0.1252,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,7205,0.0055,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,3103,0.0159,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,3060,0.0075,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,5250,0.036,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,9043,0.0085,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,2511,0.0272,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,9405,0.0374,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,2377,0.0509,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,9410,0.0054,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,9187,0.0208,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,7025,0.0303,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,2514,0.0582,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,2981,0.0362,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,1300,0,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,6561,0.0122,3
all_data/scr01/04_emot_SCR_era.txt,04,emot,7000,0.0163,3
all_data/scr01/04_recall_SCR_era.txt,04,recall,7025,0.0148,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,3350,0.0714,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,9584,0.006,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,2981,0.0162,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,3060,0.0215,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,7185,0.0091,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,7205,0,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,2384,0.0057,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,2514,0.0065,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,7026,0.0015,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,2374,0.0148,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,7530,0.0291,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,9043,0.0181,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,1850,0.0014,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,9253,0,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,9187,0.016,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,5726,0,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,9410,0.0235,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,1300,0,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,5390,0.0183,1
all_data/scr01/04_recall_SCR_era.txt,04,recall,6561,0.0111,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,9490,0,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,1201,0.0084,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,5250,2e-4,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,9183,0,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,2377,0.0047,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,9040,0.0077,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,3063,0,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,2683,0.0208,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,6520,0.0013,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,8312,0.011,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,3103,0.0083,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,3022,0.0025,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,2487,0.018,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,7165,0,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,7000,0.0113,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,9405,0.0061,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,2511,0.0129,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,7175,0,2
all_data/scr01/04_recall_SCR_era.txt,04,recall,2102,0,2
all_data/scr01/05_emot_SCR_era.txt,05,emot,3063,0.0348,1
all_data/scr01/05_emot_SCR_era.txt,05,emot,1850,0.0185,1
all_data/scr01/05_emot_SCR_era.txt,05,emot,5726,0.0366,1
all_data/scr01/05_emot_SCR_era.txt,05,emot,9253,0.0254,1
